BranchID,Address,Longitude,Latitude,PhoneNumber,Email,BranchName
1,Suite 40,14.23305,59.24214,(644) 9854577,yolochan0@cisco.com,"Fadel, Schuppe and Haley"
2,Apt 1334,103.37458,23.36225,(476) 4719206,ytringham1@fema.gov,Daugherty-Trantow
3,Room 1726,0.63968,44.19036,(759) 8790134,mstewartson2@123-reg.co.uk,McDermott LLC
4,PO Box 86491,30.45121,0.18607,(521) 6543986,ajullian3@imageshack.us,Schmitt-Beer
5,PO Box 84964,-51.07495,-28.94819,(698) 8960861,aschaumaker4@about.com,Jakubowski-Kreiger
6,Apt 1048,103.20864,-0.72410,(642) 2260731,eoolahan5@angelfire.com,"Homenick, Schmitt and Parisian"
7,Apt 570,1.72435,42.93042,(741) 3801499,caleksandrov6@nationalgeographic.com,Hoppe-Runte
8,2nd Floor,116.99146,29.42342,(251) 1913015,lforster7@utexas.edu,Dicki Group
9,Apt 1045,15.92123,51.77171,(620) 6493854,phasson8@latimes.com,Nienow Group
10,17th Floor,121.58310,17.11793,(954) 6628019,rrillatt9@opensource.org,Grady-Bogan
11,Suite 41,105.77033,-6.61111,(250) 8710083,sbacopa@w3.org,"Hamill, Zemlak and Connelly"
12,13th Floor,-73.43723,45.58335,(262) 7045152,smaclaineb@tinyurl.com,Schmeler Group
13,13th Floor,121.01015,14.64255,(479) 9101857,astrainec@goo.gl,Tromp LLC
14,Suite 39,110.44399,29.40261,(629) 4916749,jdenmeadd@phpbb.com,Ernser and Sons
15,Room 1147,116.54700,28.36940,(599) 9448032,ogrethame@wunderground.com,Von Inc
16,Room 362,16.98364,48.19974,(954) 4156644,ttevlinf@amazonaws.com,"Bashirian, Hagenes and Schamberger"
17,7th Floor,66.92368,48.01957,(741) 6872714,ktriswellg@quantcast.com,O'Connell-Predovic
18,Apt 1908,5.26203,44.25514,(237) 4991455,dcasseh@japanpost.jp,D'Amore-Morar
19,Room 458,-75.27517,10.44402,(114) 5935461,smiebesi@earthlink.net,Abshire and Sons
20,Suite 100,42.34487,42.20642,(300) 8707419,gwilmutj@jalbum.net,"Vandervort, Schultz and Quigley"
