TransactionID,OrderID,CustomerID,PaymentMethod
1,3,818,jcb
2,901,309,jcb
3,569,385,mastercard
4,885,101,maestro
5,829,650,americanexpress
6,263,698,jcb
7,732,180,jcb
8,84,918,jcb
9,431,531,jcb
10,470,389,jcb
11,26,424,china-unionpay
12,356,271,bankcard
13,373,573,china-unionpay
14,923,378,jcb
15,965,999,jcb
16,524,968,jcb
17,892,529,diners-club-carte-blanche
18,101,69,switch
19,157,326,laser
20,50,53,jcb
21,532,938,visa-electron
22,988,147,visa
23,177,615,china-unionpay
24,620,758,diners-club-carte-blanche
25,570,786,jcb
26,14,432,jcb
27,686,833,americanexpress
28,541,847,jcb
29,330,850,jcb
30,315,528,laser
31,868,54,diners-club-enroute
32,239,316,jcb
33,94,160,jcb
34,67,264,mastercard
35,5,632,jcb
36,200,232,jcb
37,90,625,jcb
38,870,357,jcb
39,930,379,jcb
40,609,659,jcb
41,693,952,maestro
42,798,597,diners-club-carte-blanche
43,100,657,switch
44,34,808,diners-club-international
45,646,834,jcb
46,889,81,visa-electron
47,383,661,jcb
48,958,588,jcb
49,348,945,jcb
50,860,172,jcb
51,537,117,visa
52,817,831,jcb
53,352,354,laser
54,601,726,jcb
55,750,154,diners-club-enroute
56,166,487,jcb
57,289,636,jcb
58,120,74,visa
59,703,245,americanexpress
60,886,828,visa-electron
61,885,699,jcb
62,457,102,jcb
63,839,921,maestro
64,868,753,diners-club-enroute
65,822,760,jcb
66,231,618,switch
67,870,25,jcb
68,800,866,jcb
69,548,702,switch
70,151,33,visa
71,597,140,jcb
72,766,627,diners-club-enroute
73,789,750,mastercard
74,6,255,maestro
75,845,815,china-unionpay
76,101,484,jcb
77,264,678,mastercard
78,697,569,jcb
79,470,40,diners-club-enroute
80,265,34,mastercard
81,681,749,jcb
82,291,938,jcb
83,571,276,switch
84,882,589,laser
85,226,799,china-unionpay
86,881,716,china-unionpay
87,970,477,jcb
88,2,287,maestro
89,246,920,americanexpress
90,581,710,diners-club-enroute
91,734,499,visa
92,56,698,diners-club-carte-blanche
93,142,691,switch
94,944,573,jcb
95,433,516,maestro
96,876,719,mastercard
97,572,158,china-unionpay
98,932,204,diners-club-enroute
99,287,427,china-unionpay
100,580,173,jcb
101,728,169,maestro
102,83,436,jcb
103,797,572,bankcard
104,158,201,jcb
105,300,633,laser
106,747,932,visa
107,861,205,diners-club-carte-blanche
108,422,977,jcb
109,900,198,jcb
110,46,1,laser
111,211,939,visa-electron
112,906,299,jcb
113,276,421,diners-club-international
114,72,262,laser
115,653,559,jcb
116,279,361,mastercard
117,142,918,jcb
118,176,851,china-unionpay
119,956,968,jcb
120,329,224,jcb
121,246,636,switch
122,230,365,diners-club-carte-blanche
123,800,293,maestro
124,469,179,jcb
125,751,64,switch
126,152,218,jcb
127,893,812,jcb
128,32,8,jcb
129,443,782,solo
130,214,137,jcb
131,943,339,jcb
132,119,60,jcb
133,828,659,visa-electron
134,979,816,visa
135,983,253,jcb
136,394,800,jcb
137,320,849,jcb
138,513,371,jcb
139,445,310,china-unionpay
140,452,601,jcb
141,511,364,jcb
142,471,125,mastercard
143,111,82,jcb
144,584,666,diners-club-enroute
145,698,121,maestro
146,814,96,jcb
147,958,835,jcb
148,887,136,americanexpress
149,820,713,bankcard
150,260,284,bankcard
151,81,870,switch
152,730,694,jcb
153,854,588,jcb
154,42,139,jcb
155,622,941,mastercard
156,5,894,china-unionpay
157,194,587,jcb
158,619,951,jcb
159,552,854,jcb
160,335,987,mastercard
161,646,748,jcb
162,596,365,mastercard
163,257,905,jcb
164,922,339,jcb
165,899,83,jcb
166,871,199,jcb
167,554,567,china-unionpay
168,607,208,jcb
169,379,683,jcb
170,595,474,bankcard
171,266,314,mastercard
172,597,551,jcb
173,532,232,jcb
174,209,279,jcb
175,256,350,jcb
176,216,997,jcb
177,102,337,jcb
178,214,917,diners-club-us-ca
179,993,406,diners-club-carte-blanche
180,578,672,switch
181,977,616,jcb
182,71,477,bankcard
183,84,608,diners-club-carte-blanche
184,550,55,visa
185,689,823,diners-club-carte-blanche
186,732,441,jcb
187,279,461,diners-club-carte-blanche
188,756,233,switch
189,992,639,jcb
190,657,673,visa
191,308,848,mastercard
192,512,594,americanexpress
193,870,333,diners-club-enroute
194,889,411,jcb
195,76,989,jcb
196,77,28,china-unionpay
197,166,478,diners-club-enroute
198,45,355,maestro
199,363,709,mastercard
200,527,202,jcb
201,977,511,diners-club-us-ca
202,678,721,diners-club-carte-blanche
203,991,446,jcb
204,253,266,solo
205,845,608,switch
206,996,750,jcb
207,861,825,jcb
208,762,814,jcb
209,14,290,jcb
210,434,630,jcb
211,638,515,jcb
212,91,33,visa
213,168,154,jcb
214,192,144,jcb
215,783,128,americanexpress
216,437,905,jcb
217,60,590,jcb
218,311,675,mastercard
219,804,599,mastercard
220,89,291,switch
221,521,666,bankcard
222,813,47,visa-electron
223,178,981,diners-club-enroute
224,157,458,jcb
225,393,365,jcb
226,468,535,jcb
227,529,892,laser
228,774,133,jcb
229,202,298,jcb
230,356,28,jcb
231,522,344,visa-electron
232,49,309,china-unionpay
233,182,640,bankcard
234,940,613,diners-club-enroute
235,514,169,mastercard
236,720,650,jcb
237,412,572,diners-club-carte-blanche
238,760,634,jcb
239,399,191,americanexpress
240,541,231,americanexpress
241,688,917,switch
242,37,226,diners-club-enroute
243,400,982,diners-club-international
244,1000,280,jcb
245,551,476,jcb
246,334,655,jcb
247,316,239,china-unionpay
248,367,392,mastercard
249,5,258,jcb
250,71,250,switch
251,191,785,americanexpress
252,174,135,china-unionpay
253,544,355,jcb
254,893,472,visa
255,87,514,diners-club-carte-blanche
256,457,221,jcb
257,385,696,maestro
258,452,161,mastercard
259,792,429,solo
260,575,972,jcb
261,109,792,switch
262,556,382,jcb
263,435,864,mastercard
264,142,310,mastercard
265,189,959,visa
266,964,366,jcb
267,481,49,maestro
268,721,562,jcb
269,1,824,jcb
270,243,909,jcb
271,447,802,jcb
272,89,671,switch
273,732,536,diners-club-carte-blanche
274,831,690,instapayment
275,753,152,diners-club-enroute
276,857,440,diners-club-international
277,633,939,mastercard
278,209,917,visa-electron
279,539,363,jcb
280,418,591,instapayment
281,368,362,jcb
282,912,937,instapayment
283,355,462,jcb
284,309,985,china-unionpay
285,716,24,jcb
286,230,261,instapayment
287,26,520,jcb
288,314,790,jcb
289,494,825,jcb
290,564,866,americanexpress
291,468,704,jcb
292,300,649,solo
293,327,894,jcb
294,960,204,diners-club-enroute
295,270,853,switch
296,37,700,jcb
